Description,Carbohydrate (g),Protein (g),Total Fat (g),Kilocalories,Fiber (g),Sugar Total (g),Calcium (mg),Iron (mg),Vitamin C (mg),Vitamin E (mg),Sodium (mg),Cholesterol (mg)
"CREAM,FLUID,HVY WHIPPING",2.79,2.05,37.0,345,0.0,0.109999999,65,0.03,0.6,1.06,38,137
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",12.49,3.2,22.22,257,0.0,8.0,101,0.05,0.0,0.64,130,76
"CREAM,SOUR,RED FAT,CULTURED",4.26,2.94,12.0,135,0.0,0.159999996,104,0.07,0.9,0.34,41,39
"CREAM,SOUR,CULTURED",2.88,2.07,19.73,193,0.0,3.5,110,0.17,0.9,0.44,80,52
EGGNOG,13.54,3.81,7.48,135,0.0,8.409999847,130,0.2,1.5,0.2,54,59
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",4.68,3.25,16.57,178,0.0,4.679999828,113,0.03,0.9,1.34,48,5
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",4.74,3.33,3.46,63,0.0,0.0,128,0.05,0.9,0.0,57,2
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",4.74,3.33,3.4,63,0.0,4.739999771,128,0.05,0.9,0.13,57,2
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",11.38,1.0,9.97,136,0.0,11.38000011,9,0.03,0.0,0.81,79,0
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",11.38,1.0,9.97,136,0.0,0.0,9,0.03,0.0,0.0,79,0
"CREAM SUBSTITUTE,POWDERED",54.88,4.79,35.48,545,0.0,54.88000107,22,1.15,0.0,0.59,181,0
"DESSERT TOPPING,POWDERED",52.54,4.9,39.92,577,0.0,52.54000092,17,0.03,0.0,1.52,122,0
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",16.53,3.6,12.41,188,0.0,16.53000069,90,0.04,0.7,0.44,66,10
"DESSERT TOPPING,PRESSURIZED",16.07,0.98,22.3,264,0.0,16.06999969,5,0.02,0.0,0.85,62,0
"DESSERT TOPPING,SEMI SOLID,FRZ",23.05,1.25,25.31,318,0.0,23.04999924,6,0.12,0.0,0.96,25,0
"SOUR CRM,IMITN,CULTURED",6.63,2.4,19.52,208,0.0,6.630000114,3,0.39,0.0,0.74,102,0
"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",6.16,1.75,3.41,61,0.0,6.159999847,33,0.39,0.0,0.28,78,0
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",6.16,1.75,3.41,61,0.0,0.0,33,0.39,0.0,0.0,78,0
"MILK,WHL,3.25% MILKFAT",4.52,3.22,3.25,60,0.0,5.260000229,113,0.03,0.0,0.06,40,10
"MILK,PRODUCER,FLUID,3.7% MILKFAT",4.65,3.28,3.66,64,0.0,0.0,119,0.05,1.5,0.0,49,14
"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",4.68,3.3,1.97,50,0.0,5.059999943,117,0.03,0.2,0.03,41,8
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",4.97,3.48,1.92,51,0.0,0.0,128,0.05,1.0,0.0,52,8
