Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Kilocalories,Data.Fiber,Data.Sugar Total,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Major Minerals.Sodium,Data.Cholesterol,Cluster,Description
2.1,24.73,25.01,334.0,0.0,1.230000019,772,0.61,0.0,0.34,1370.0,85.0,0,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4"
8.32,19.66,24.46,331.0,0.0,0.0,497,0.84,0.0,0.0,966.0,64.0,0,"CHEESE FD,COLD PK,AMERICAN"
7.83,18.4,25.18,330.0,0.0,7.429999828,570,0.57,0.0,0.22,1265.0,80.0,0,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4"
4.5,21.92,24.14,323.0,0.0,0.0,723,0.6,0.0,0.0,1552.0,82.0,0,"CHEESE FD,PAST PROCESS,SWISS"
8.73,16.41,21.23,290.0,0.0,7.320000172,562,0.33,0.0,0.19,1345.0,55.0,0,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4"
4.3,2.96,11.5,130.0,0.0,0.159999996,105,0.07,0.9,0.33,41.0,37.0,3,"CREAM,FLUID,HALF AND HALF"
3.66,2.7,19.31,195.0,0.0,0.140000001,96,0.04,0.8,0.55,40.0,66.0,3,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)"
2.96,2.17,30.91,292.0,0.0,0.109999999,69,0.03,0.6,0.88,34.0,111.0,0,"CREAM,FLUID,LT WHIPPING"
2.79,2.05,37.0,345.0,0.0,0.109999999,65,0.03,0.6,1.06,38.0,137.0,0,"CREAM,FLUID,HVY WHIPPING"
12.49,3.2,22.22,257.0,0.0,8.0,101,0.05,0.0,0.64,130.0,76.0,3,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED"
4.26,2.94,12.0,135.0,0.0,0.159999996,104,0.07,0.9,0.34,41.0,39.0,3,"CREAM,SOUR,RED FAT,CULTURED"
2.88,2.07,19.73,193.0,0.0,3.5,110,0.17,0.9,0.44,80.0,52.0,3,"CREAM,SOUR,CULTURED"
13.54,3.81,7.48,135.0,0.0,8.409999847,130,0.2,1.5,0.2,54.0,59.0,3,EGGNOG
4.68,3.25,16.57,178.0,0.0,4.679999828,113,0.03,0.9,1.34,48.0,5.0,3,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE"
4.74,3.33,3.46,63.0,0.0,0.0,128,0.05,0.9,0.0,57.0,2.0,3,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS"
4.74,3.33,3.4,63.0,0.0,4.739999771,128,0.05,0.9,0.13,57.0,2.0,3,"MILK,FILLED,FLUID,W/LAURIC ACID OIL"
11.38,1.0,9.97,136.0,0.0,11.38000011,9,0.03,0.0,0.81,79.0,0.0,3,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT"
11.38,1.0,9.97,136.0,0.0,0.0,9,0.03,0.0,0.0,79.0,0.0,3,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE"
54.88,4.79,35.48,545.0,0.0,54.88000107,22,1.15,0.0,0.59,181.0,0.0,3,"CREAM SUBSTITUTE,POWDERED"
52.54,4.9,39.92,577.0,0.0,52.54000092,17,0.03,0.0,1.52,122.0,0.0,3,"DESSERT TOPPING,POWDERED"
16.53,3.6,12.41,188.0,0.0,16.53000069,90,0.04,0.7,0.44,66.0,10.0,3,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK"
